English,Italian
part,parte
history,storia
search,ricerca
only,solo
police,Polizia Stradale
thought,pensiero
help,aiuto
request,richiesta
kind,tipo
month,mese
brother,fratello
let,permettere
because,perché
to put,mettere
no,no
leash,guinzaglio
them,loro
city,città
each,ogni
speak,parlare
come,venire
should,dovrebbe
baby,bambino
long time,a lungo
hours,ore
will,volere
while,mentre
meet again,rincontrarsi
any,qualunque
square,quadrato
speak,parlare
understood,inteso
knew,conosceva
were,erano
Warning,Avvertimento
here is,qui è
could,potevo
case,Astuccio
give,dare
type,genere
their,loro
given,dato
train,treno
body,corpo
place,luogo
eyes,occhi
way,strada
listen,Ascoltare
whose,"il cui, di chi"
find,trovare
first,primo
lost,perduto
hand,mano
first,primo
side,lato
power,energia
old,vecchio
be,essere
here,qui
morning,mattina
so much,così tanto
child,bambino
point,punto
came,è venuto
after,dopo
sorry,scusate
come,venire
in front of,davanti
towards,in direzione
minutes,minuti
request,richiesta
bedroom,Camera da letto
placed,posto
beautiful,Bellissima
law,legge
would like to,vorrei
today,oggi
husband,marito
cause,causa
finally,finalmente
hope,speranza
water,acqua
Wait,Attesa
left,sinistra
new,nuovo
job,lavoro
Stop,Fermare
would say,direi
Earth,terra
account,account
given,dato
far,lontano
end,fine
believe,credere
sweetheart,Tesoro
large,grande
rather,piuttosto
will have,avrà
girls,ragazze
to play,giocare
office,ufficio
monday,lunedì
tuesday,martedì
wednesday,Mercoledì
thursday,giovedi
friday,venerdì
saturday,il sabato
sunday,Domenica
january,gennaio
february,febbraio
march,marzo
april,aprile
may,Maggio
june,giugno
july,luglio
august,agosto
october,ottobre
november,novembre
december,dicembre
